Company Name,Size,Type of ownership,Industry,Headquarters
Vera Institute of Justice,201 to 500 employees,Nonprofit Organization,Social Assistance,"New York, NY"
Visiting Nurse Service of New York,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
Squarespace,1001 to 5000 employees,Company - Private,Internet,"New York, NY"
Celerity,201 to 500 employees,Subsidiary or Business Segment,IT Services,"McLean, VA"
FanDuel,501 to 1000 employees,Company - Private,Sports & Recreation,"New York, NY"
Point72,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Stamford, CT"
Two Sigma,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"New York, NY"
GNY Insurance Companies,201 to 500 employees,Company - Private,Insurance Carriers,"New York, NY"
DMGT,5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,"London, United Kingdom"
Riskified,501 to 1000 employees,Company - Private,Research & Development,"New York, NY"
NYU Langone Health,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
Montefiore Medical,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Bronx, NY"
Known,201 to 500 employees,Company - Private,Advertising & Marketing,"New York, NY"
Advisor Group,1001 to 5000 employees,Company - Private,Brokerage Services,"Phoenix, AZ"
CodeGreen Solutions,1 to 50 employees,Company - Private,Building & Personnel Services,"New York, NY"
Undertone,201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,"New York, NY"
NYSTEC,51 to 200 employees,Nonprofit Organization,Consulting,"Rome, NY"
"Education Development Center, Inc.",501 to 1000 employees,Nonprofit Organization,Research & Development,"Waltham, MA"
Teachers Pay Teachers,51 to 200 employees,Company - Private,Internet,"New York, NY"
Google,10000+ employees,Company - Public,Internet,"Mountain View, CA"
Macquarie Group,10000+ employees,Company - Public,Investment Banking & Asset Management,"Sydney, Australia"
Andiamo,201 to 500 employees,Company - Private,Casual Restaurants,"Warren, MI"
Hearst Communications,1 to 50 employees,Company - Private,Advertising & Marketing,"San Francisco, CA"
Duolingo,201 to 500 employees,Company - Private,Internet,"Pittsburgh, PA"
Ro,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
Endai,1 to 50 employees,Company - Private,Advertising & Marketing,"New York, NY"
BlueLabs,1 to 50 employees,Company - Private,Research & Development,"Washington, DC"
Revel,51 to 200 employees,Company - Private,Consulting,"Seattle, WA"
NALLAS CORPORATION,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Newtown, PA"
SoFi,1001 to 5000 employees,Company - Private,Lending,"San Francisco, CA"
Bank of America,10000+ employees,Company - Public,Banks & Credit Unions,"Charlotte, NC"
Nutech Information Systems,1 to 50 employees,Company - Private,Computer Hardware & Software,"Westmont, IL"
NYU Langone Health,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
The Trevor Project,51 to 200 employees,Nonprofit Organization,Social Assistance,"West Hollywood, CA"
Two95 International Inc.,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Cherry Hill, NJ"
Vettery,201 to 500 employees,Company - Private,Internet,"New York, NY"
"Nesco Resource, LLC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Cleveland, OH"
Hearst Communications,1 to 50 employees,Company - Private,Advertising & Marketing,"San Francisco, CA"
MediaMath,501 to 1000 employees,Company - Private,Advertising & Marketing,"New York, NY"
Jordan & Jordan,1 to 50 employees,Company - Private,Brokerage Services,"New York, NY"
Roku,1001 to 5000 employees,Company - Public,IT Services,"San Jose, CA"
Walt Disney Co.,10000+ employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
Xoriant Corporation,1001 to 5000 employees,Company - Private,IT Services,"Sunnyvale, CA"
Gemini,51 to 200 employees,Company - Private,Brokerage Services,"New York, NY"
"TSR, Inc.",201 to 500 employees,Company - Public,Staffing & Outsourcing,"Hauppauge, NY"
Walt Disney Co.,10000+ employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
Fragomen Worldwide,1001 to 5000 employees,Company - Private,Legal,"New York, NY"
Bloomberg,10000+ employees,Company - Private,Computer Hardware & Software,"New York, NY"
Real Capital Analytics,51 to 200 employees,Company - Private,Real Estate,"New York, NY"
Ro,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
Perficient,1001 to 5000 employees,Company - Public,IT Services,"Saint Louis, MO"
Perficient,1001 to 5000 employees,Company - Public,IT Services,"Saint Louis, MO"
Perficient,1001 to 5000 employees,Company - Public,IT Services,"Saint Louis, MO"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Criteo,1001 to 5000 employees,Company - Public,Internet,"Paris, France"
Royal Communications,1 to 50 employees,Company - Private,IT Services,"New York, NY"
Neuberger Berman,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"New York, NY"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
impakt Advisors,1 to 50 employees,Company - Private,Consulting,"New York, NY"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Axelon Services Corporation,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
United Nations,10000+ employees,Government,Federal Agencies,"New York, NY"
"Discovery Communications, Inc.",10000+ employees,Company - Public,TV Broadcast & Cable Networks,"New York, NY"
Randstad,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
Two95 International Inc.,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Cherry Hill, NJ"
"EDO, Inc.",1 to 50 employees,Company - Private,Internet,"Los Angeles, CA"
Guidepoint,501 to 1000 employees,Company - Private,Research & Development,"New York, NY"
Mitchell Martin,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Sphinix Network Solutions Inc.,1 to 50 employees,Company - Private,IT Services,"New York, NY"
Praescient Analytics,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
Global Atlantic Financial Group,1001 to 5000 employees,Company - Private,Insurance Carriers,"New York, NY"
FINRA,1001 to 5000 employees,Nonprofit Organization,Brokerage Services,"Washington, DC"
Jefferies,1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
RGP,1001 to 5000 employees,Company - Public,Consulting,"Irvine, CA"
Tachyon Technologies,201 to 500 employees,Company - Private,IT Services,"Irving, TX"
Apex Systems,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Glen Allen, VA"
Hagerty Consulting,1 to 50 employees,Company - Private,Consulting,"Evanston, IL"
Gainful Health,1 to 50 employees,Company - Private,Food & Beverage Stores,"San Mateo, CA"
Cortex consultants LLC,501 to 1000 employees,Company - Private,Consulting,"North Brunswick, NJ"
Medly Pharmacy,201 to 500 employees,Unknown,Health Care Services & Hospitals,"Brooklyn, NY"
Peloton Interactive,1001 to 5000 employees,Company - Public,"Health, Beauty, & Fitness","New York, NY"
ektello,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Troy, MI"
"Premier, Inc.",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,"Charlotte, NC"
JPMorgan Chase,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Fund for Public Health,201 to 500 employees,Nonprofit Organization,Social Assistance,"New York, NY"
Crossfire Consulting Corporation,51 to 200 employees,Company - Private,Consulting,"Yorktown Heights, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
My Job Tank,51 to 200 employees,Company - Private,IT Services,"New York, NY"
Cowen,501 to 1000 employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
FJA-US Inc.,51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,"New York, NY"
Averity,1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
Wildlife Conservation Society,1001 to 5000 employees,Nonprofit Organization,Social Assistance,"Bronx, NY"
Asembia,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,"Florham Park, NJ"
Vesta Healthcare,1 to 50 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
1199SEIU Funds,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"New York, NY"
Nutrafol,51 to 200 employees,Other Organization,"Health, Beauty, & Fitness","New York, NY"
New York Life Insurance Co,10000+ employees,Company - Private,Insurance Agencies & Brokerages,"New York, NY"
"EDP World, Inc.",1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
IBM,10000+ employees,Company - Public,IT Services,"Armonk, NY"
Northwell Health,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Lake Success, NY"
Huxley,201 to 500 employees,Company - Private,Staffing & Outsourcing,"London, United Kingdom"
Vericred,1 to 50 employees,Company - Private,Internet,"New York, NY"
Scotiabank,10000+ employees,Company - Public,Investment Banking & Asset Management,"Toronto, Canada"
Child Mind Institute,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
Balance Innovations,51 to 200 employees,Company - Private,Computer Hardware & Software,"Lenexa, KS"
Asset Staffing,201 to 500 employees,Contract,Staffing & Outsourcing,"New York, NY"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
"Hearst Television, Inc",51 to 200 employees,Company - Private,TV Broadcast & Cable Networks,"Cincinnati, OH"
William Hill US,10000+ employees,Company - Public,Gambling,"London, United Kingdom"
Rockstar Games,1001 to 5000 employees,Subsidiary or Business Segment,Video Games,"New York, NY"
Decision Resources Group,1001 to 5000 employees,Subsidiary or Business Segment,IT Services,"Burlington, MA"
"NTT DATA, Inc.",201 to 500 employees,Company - Private,Accounting,"Singapore, Singapore"
Columbia University,10000+ employees,College / University,Colleges & Universities,"New York, NY"
Precision technologies corp,201 to 500 employees,Company - Private,IT Services,"New Brunswick, NJ"
Cactus Holdings,1001 to 5000 employees,Company - Private,Research & Development,"Mumbai, India"
Cuny Research Foundation,10000+ employees,Nonprofit Organization,Colleges & Universities,"New York, NY"
SGA Inc.,1 to 50 employees,Company - Private,Architectural & Engineering Services,"Bethesda, MD"
Crossfire Consulting Corporation,51 to 200 employees,Company - Private,Consulting,"Yorktown Heights, NY"
Amazon,10000+ employees,Company - Public,Internet,"Seattle, WA"
"NTT DATA, Inc.",201 to 500 employees,Company - Private,Accounting,"Singapore, Singapore"
NYU Langone Health,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
HOMETEAM,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
Mount Sinai Health System,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
"Halcyon Solutions, Inc.",51 to 200 employees,Company - Private,IT Services,"Dublin, OH"
COUNCIL ON ACCREDITATION,51 to 200 employees,Nonprofit Organization,Social Assistance,"New York, NY"
Mount Sinai Health System,10000+ employees,Hospital,Health Care Services & Hospitals,"New York, NY"
Child Mind Institute,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"New York, NY"
COOLSOFT,51 to 200 employees,Company - Private,"Health, Beauty, & Fitness","Louisville, KY"
451 Research,201 to 500 employees,Company - Private,Research & Development,"New York, NY"
Amenity Analytics,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"New York, NY"
"Halcyon Solutions, Inc.",51 to 200 employees,Company - Private,IT Services,"Dublin, OH"
Rockstar Games,1001 to 5000 employees,Subsidiary or Business Segment,Video Games,"New York, NY"
Vericred,1 to 50 employees,Company - Private,Internet,"New York, NY"
APCO Worldwide,501 to 1000 employees,Company - Private,Consulting,"Washington, DC"
Brooklyn Community Services,201 to 500 employees,Nonprofit Organization,Social Assistance,"Brooklyn, NY"
Softcom Systems,1 to 50 employees,Company - Private,IT Services,"Princeton, NJ"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
UBS,10000+ employees,Company - Public,Investment Banking & Asset Management,"Zurich, Switzerland"
Workforce Logiq,501 to 1000 employees,Company - Private,Consulting,"Orlando, FL"
Cross River Bank,201 to 500 employees,Company - Private,Banks & Credit Unions,"Fort Lee, NJ"
NBCUniversal,10000+ employees,Company - Public,TV Broadcast & Cable Networks,"New York, NY"
Narrativ,1 to 50 employees,Company - Private,Internet,"New York, NY"
Perficient,1001 to 5000 employees,Company - Public,IT Services,"Saint Louis, MO"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Bounce Exchange,201 to 500 employees,Company - Private,Advertising & Marketing,"New York, NY"
Green Key Resources,201 to 500 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
22nd Century Technologies,1001 to 5000 employees,Company - Private,IT Services,"Somerset, NJ"
Praescient Analytics,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
