Company Name,Job Title,Average Salary,Industry,Location,Min Salary,Max Salary
Vera Institute of Justice,"Data Analyst, Center on Immigration and Justice (CIJ)",51.5,Social Assistance,"New York, NY",37,66
Visiting Nurse Service of New York,Quality Data Analyst,51.5,Health Care Services & Hospitals,"New York, NY",37,66
Squarespace,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",51.5,Internet,"New York, NY",37,66
Celerity,Data Analyst,51.5,IT Services,"New York, NY",37,66
FanDuel,Reporting Data Analyst,51.5,Sports & Recreation,"New York, NY",37,66
Point72,Data Analyst,51.5,Investment Banking & Asset Management,"New York, NY",37,66
Two Sigma,Business/Data Analyst (FP&A),51.5,Investment Banking & Asset Management,"New York, NY",37,66
GNY Insurance Companies,Data Science Analyst,51.5,Insurance Carriers,"New York, NY",37,66
DMGT,Data Analyst,51.5,Venture Capital & Private Equity,"New York, NY",37,66
Riskified,"Data Analyst, Merchant Health",51.5,Research & Development,"New York, NY",37,66
NYU Langone Health,Data Analyst,51.5,Health Care Services & Hospitals,"New York, NY",37,66
Montefiore Medical,DATA ANALYST,51.5,Health Care Services & Hospitals,"New York, NY",37,66
Known,Senior Data Analyst,51.5,Advertising & Marketing,"New York, NY",37,66
Advisor Group,Investment Advisory Data Analyst,51.5,Brokerage Services,"Jersey City, NJ",37,66
CodeGreen Solutions,Sustainability Data Analyst,51.5,Building & Personnel Services,"New York, NY",37,66
Undertone,Data Analyst,51.5,Advertising & Marketing,"New York, NY",37,66
NYSTEC,Clinical Data Analyst,51.5,Consulting,"New York, NY",37,66
"Education Development Center, Inc.",DATA PROGRAMMER/ANALYST,51.5,Research & Development,"New York, NY",37,66
Teachers Pay Teachers,Data Analyst,51.5,Internet,"New York, NY",37,66
Google,"Product Analyst, Data Science",51.5,Internet,"New York, NY",37,66
Macquarie Group,Data Analyst - Intex Developer,51.5,Investment Banking & Asset Management,"New York, NY",37,66
Andiamo,Data Analyst,51.5,Casual Restaurants,"New York, NY",37,66
Hearst Communications,Data Analyst,51.5,Advertising & Marketing,"New York, NY",37,66
Duolingo,Data + Business Intelligence Analyst,51.5,Internet,"New York, NY",37,66
Ro,"Data Analyst, Product",51.5,Health Care Services & Hospitals,"New York, NY",37,66
Endai,Data Analyst Entry Level,51.5,Advertising & Marketing,"New York, NY",37,66
BlueLabs,Data Analyst,51.5,Research & Development,"New York, NY",37,66
Revel,Data Analyst,66.5,Consulting,"Brooklyn, NY",46,87
NALLAS CORPORATION,Data Analyst,66.5,Enterprise Software & Network Solutions,"Jersey City, NJ",46,87
SoFi,"Data Science Analyst, Capital Markets",66.5,Lending,"New York, NY",46,87
Bank of America,Analyst/Associate Global Markets Credit Data Analyst,66.5,Banks & Credit Unions,"New York, NY",46,87
