Industry,Sector,Type of ownership
Social Assistance,Non-Profit,Nonprofit Organization
Health Care Services & Hospitals,Health Care,Nonprofit Organization
Internet,Information Technology,Company - Private
IT Services,Information Technology,Subsidiary or Business Segment
Sports & Recreation,"Arts, Entertainment & Recreation",Company - Private
Investment Banking & Asset Management,Finance,Company - Private
Investment Banking & Asset Management,Finance,Company - Private
Insurance Carriers,Insurance,Company - Private
Venture Capital & Private Equity,Finance,Company - Public
Research & Development,Business Services,Company - Private
Health Care Services & Hospitals,Health Care,Hospital
Health Care Services & Hospitals,Health Care,Nonprofit Organization
Advertising & Marketing,Business Services,Company - Private
Brokerage Services,Finance,Company - Private
Building & Personnel Services,Business Services,Company - Private
Advertising & Marketing,Business Services,Subsidiary or Business Segment
Consulting,Business Services,Nonprofit Organization
Research & Development,Business Services,Nonprofit Organization
Internet,Information Technology,Company - Private
Internet,Information Technology,Company - Public
Investment Banking & Asset Management,Finance,Company - Public
Casual Restaurants,"Restaurants, Bars & Food Services",Company - Private
Advertising & Marketing,Business Services,Company - Private
Internet,Information Technology,Company - Private
Health Care Services & Hospitals,Health Care,Company - Private
Advertising & Marketing,Business Services,Company - Private
Research & Development,Business Services,Company - Private
Consulting,Business Services,Company - Private
Enterprise Software & Network Solutions,Information Technology,Company - Private
Lending,Finance,Company - Private
Banks & Credit Unions,Finance,Company - Public
Computer Hardware & Software,Information Technology,Company - Private
Health Care Services & Hospitals,Health Care,Hospital
Social Assistance,Non-Profit,Nonprofit Organization
Staffing & Outsourcing,Business Services,Company - Private
Internet,Information Technology,Company - Private
Staffing & Outsourcing,Business Services,Company - Private
Advertising & Marketing,Business Services,Company - Private
Advertising & Marketing,Business Services,Company - Private
Brokerage Services,Finance,Company - Private
IT Services,Information Technology,Company - Public
Motion Picture Production & Distribution,Media,Company - Public
IT Services,Information Technology,Company - Private
Brokerage Services,Finance,Company - Private
Staffing & Outsourcing,Business Services,Company - Public
Motion Picture Production & Distribution,Media,Company - Public
Legal,Accounting & Legal,Company - Private
Computer Hardware & Software,Information Technology,Company - Private
Real Estate,Real Estate,Company - Private
Health Care Services & Hospitals,Health Care,Company - Private
IT Services,Information Technology,Company - Public
IT Services,Information Technology,Company - Public
IT Services,Information Technology,Company - Public
Staffing & Outsourcing,Business Services,Company - Public
Internet,Information Technology,Company - Public
IT Services,Information Technology,Company - Private
Investment Banking & Asset Management,Finance,Company - Private
IT Services,Information Technology,Company - Private
Staffing & Outsourcing,Business Services,Company - Private
Consulting,Business Services,Company - Private
Investment Banking & Asset Management,Finance,Company - Public
