Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"Vera Institute of Justice
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Quality Data Analyst,$37K-$66K (Glassdoor est.),"Visiting Nurse Service of New York
3.8","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"Squarespace
3.4","New York, NY",1001 to 5000 employees,Company - Private,Internet,Information Technology
Data Analyst,$37K-$66K (Glassdoor est.),"Celerity
4.1","New York, NY",201 to 500 employees,Subsidiary or Business Segment,IT Services,Information Technology
Reporting Data Analyst,$37K-$66K (Glassdoor est.),"FanDuel
3.9","New York, NY",501 to 1000 employees,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation"
Data Analyst,$37K-$66K (Glassdoor est.),"Point72
3.9","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"Two Sigma
4.4","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Data Science Analyst,$37K-$66K (Glassdoor est.),"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance
Data Analyst,$37K-$66K (Glassdoor est.),"DMGT
4.0","New York, NY",5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"Riskified
4.4","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,$37K-$66K (Glassdoor est.),BulbHead,"Fairfield, NJ",1 to 50 employees,Company - Private,-1,-1
DATA ANALYST,$37K-$66K (Glassdoor est.),"Montefiore Medical
3.7","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Senior Data Analyst,$37K-$66K (Glassdoor est.),"Known
3.0","New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Advisor Group
3.4","Jersey City, NJ",1001 to 5000 employees,Company - Private,Brokerage Services,Finance
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),"CodeGreen Solutions
3.6","New York, NY",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"Undertone
3.8","New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Clinical Data Analyst,$37K-$66K (Glassdoor est.),"NYSTEC
3.8","New York, NY",51 to 200 employees,Nonprofit Organization,Consulting,Business Services
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),"Education Development Center, Inc.
3.9","New York, NY",501 to 1000 employees,Nonprofit Organization,Research & Development,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"Teachers Pay Teachers
4.9","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),"Google
4.4","New York, NY",10000+ employees,Company - Public,Internet,Information Technology
Data Science Analyst,$37K-$66K (Glassdoor est.),MUSIC & Entertainment,"New York, NY",Unknown,Company - Public,-1,-1
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),"Macquarie Group
3.3","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst,$37K-$66K (Glassdoor est.),"Andiamo
3.5","New York, NY",201 to 500 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services"
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),"Dash Technologies Inc
3.8","New York, NY",1 to 50 employees,Unknown,-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),"Hearst Communications
4.0","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),"Duolingo
5.0","New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
"Data Analyst, Product",$37K-$66K (Glassdoor est.),"Ro
4.8","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),"Endai
3.7","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data Analyst,$37K-$66K (Glassdoor est.),"BlueLabs
4.7","New York, NY",1 to 50 employees,Company - Private,Research & Development,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"Revel
3.6","Brooklyn, NY",51 to 200 employees,Company - Private,Consulting,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"NALLAS CORPORATION
3.6","Jersey City, NJ",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst,$46K-$87K (Glassdoor est.),"Pozent
3.5","New York, NY",1 to 50 employees,Contract,-1,-1
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),"SoFi
3.2","New York, NY",1001 to 5000 employees,Company - Private,Lending,Finance
Data Analyst (Games),$46K-$87K (Glassdoor est.),Carry1st,"New York, NY",-1,-1,-1,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),"Bank of America
3.7","New York, NY",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Data Business Analyst,$46K-$87K (Glassdoor est.),Clear Street,"New York, NY",51 to 200 employees,Company - Public,-1,-1
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),"Nutech Information Systems
3.6","New York, NY",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,$46K-$87K (Glassdoor est.),"The Trevor Project
4.6","New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),Pinto,"New York, NY",1 to 50 employees,Company - Private,-1,-1
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),AB InBev,"New York, NY",1001 to 5000 employees,Company - Public,-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),"Whip Media Group
5.0","New York, NY",51 to 200 employees,Company - Private,-1,-1
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),"Two95 International Inc.
4.0","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"Vettery
3.0","New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology
Data Analyst,$46K-$87K (Glassdoor est.),"Nesco Resource, LLC
2.9","New York, NY",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Advertising Data Analyst,$46K-$87K (Glassdoor est.),"Hearst Communications
4.0","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Data Analyst,$46K-$87K (Glassdoor est.),"MediaMath
3.6","New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),"Jordan & Jordan
4.9","New York, NY",1 to 50 employees,Company - Private,Brokerage Services,Finance
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),"Roku
3.9","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),"Walt Disney Co.
4.0","New York, NY",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),"Citadel
3.8","New York, NY",1001 to 5000 employees,Company - Private,-1,-1
Business Data Analyst,$46K-$87K (Glassdoor est.),"Xoriant Corporation
3.7","Jersey City, NJ",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Senior Data Analyst,$46K-$87K (Glassdoor est.),"Gemini
3.6","New York, NY",51 to 200 employees,Company - Private,Brokerage Services,Finance
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),"TSR, Inc.
3.6","Weehawken, NJ",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
Data Reporting Analyst,$46K-$87K (Glassdoor est.),NADAP NYS INC.,"New York, NY",-1,-1,-1,-1
